"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 06 20:45:50 EET 2022","Tue Dec 06 20:45:57 EET 2022","7825","chromium","","test cases for redmine.org","","","visit login page, enter NAME and password",""
"passed","Tue Dec 06 20:46:24 EET 2022","Tue Dec 06 20:46:30 EET 2022","5829","firefox","","test cases for redmine.org","","","visit question page and check marks",""
"passed","Tue Dec 06 20:46:01 EET 2022","Tue Dec 06 20:46:06 EET 2022","4437","chromium","","test cases for redmine.org","","","visit question page and check marks",""
"passed","Tue Dec 06 20:45:50 EET 2022","Tue Dec 06 20:45:57 EET 2022","7820","chromium","","test cases for redmine.org","","","visit question page and click issuesLink",""
"passed","Tue Dec 06 20:46:44 EET 2022","Tue Dec 06 20:46:50 EET 2022","5986","webkit","","test cases for redmine.org","","","visit search page and have title",""
"passed","Tue Dec 06 20:46:36 EET 2022","Tue Dec 06 20:46:44 EET 2022","8051","webkit","","test cases for redmine.org","","","visit question page and click issuesLink",""
"passed","Tue Dec 06 20:45:57 EET 2022","Tue Dec 06 20:46:01 EET 2022","3868","chromium","","test cases for redmine.org","","","visit search page and have title",""
"passed","Tue Dec 06 20:46:07 EET 2022","Tue Dec 06 20:46:19 EET 2022","11400","firefox","","test cases for redmine.org","","","visit login page, enter NAME and password",""
"passed","Tue Dec 06 20:46:33 EET 2022","Tue Dec 06 20:46:45 EET 2022","12101","webkit","","test cases for redmine.org","","","visit login page, enter NAME and password",""
"passed","Tue Dec 06 20:46:19 EET 2022","Tue Dec 06 20:46:24 EET 2022","5624","firefox","","test cases for redmine.org","","","visit search page and have title",""
"passed","Tue Dec 06 20:46:08 EET 2022","Tue Dec 06 20:46:23 EET 2022","14900","firefox","","test cases for redmine.org","","","visit question page and click issuesLink",""
"failed","Tue Dec 06 20:45:57 EET 2022","Tue Dec 06 20:46:06 EET 2022","9009","chromium","","test cases for redmine.org","","","go to feature page and have title",""
"failed","Tue Dec 06 20:46:45 EET 2022","Tue Dec 06 20:46:59 EET 2022","13763","webkit","","test cases for redmine.org","","","go to feature page and have title",""
"failed","Tue Dec 06 20:46:23 EET 2022","Tue Dec 06 20:46:35 EET 2022","11956","firefox","","test cases for redmine.org","","","go to feature page and have title",""
"passed","Tue Dec 06 20:46:50 EET 2022","Tue Dec 06 20:47:02 EET 2022","11805","webkit","","test cases for redmine.org","","","visit question page and check marks",""
